国家,出发,到达,航司,航班号,班期,备注
泰国,曼谷（素万那普）,北京,国航,CA980,周三,青岛入境
泰国,曼谷（素万那普）,上海,东航,MU542,周日,7.5 起
泰国,曼谷（素万那普）,上海,上航,FM834,周六,7.4 起
泰国,曼谷（素万那普）,上海,吉祥,HO1358,周五,7.3 起
泰国,曼谷（素万那普）,上海,春秋,9C8580,周二,
泰国,曼谷（素万那普）,广州,南航,CZ3082,周三,
泰国,曼谷（素万那普）,广州,九元,AQ1008,周一,
泰国,曼谷（素万那普）,广州,九元,AQ1008,周五,7.24 起
泰国,曼谷（素万那普）,厦门,厦航,MF834,周五,
泰国,曼谷（素万那普）,南宁,北部湾,GX8908,周二,
泰国,曼谷（素万那普）,昆明,祥鹏,KY8370,周日,
泰国,曼谷（廊曼）,广州,泰狮航,SL117,周一,
泰国,曼谷（廊曼）,天津,泰亚 X,XJ808,周五,7.10 起
泰国,清莱,成都,川航,3U8288,周六,
柬埔寨,金边,北京,国航,CA746,周四,郑州入境
柬埔寨,金边,上海,东航,MU760,周三,
柬埔寨,金边,广州,南航,CZ8314,周一,
柬埔寨,金边,广州,吴哥,K6668,周四,
柬埔寨,金边,广州,澜湄,LQ908,周六,↓ 奖励
柬埔寨,金边,西安,澜湄,LQ884,周一,7.20 起
柬埔寨,金边,成都,柬航,KR962,周三,
柬埔寨,金边,成都,景成,QD738,周五,
柬埔寨,金边,南京,春秋,9C6242,周三,
柬埔寨,金边,厦门,厦航,MF8692,周三,
柬埔寨,金边,成都,柬航,KR962,周三,
柬埔寨,西哈努克,广州,澜湄,LQ908,周六,
柬埔寨,西哈努克,成都,天空 吴哥,ZA493,周二,
柬埔寨,西哈努克,昆明,瑞丽,DR5032,周六,
新加坡,新加坡,上海,东航,MU568,周四,上航承运
新加坡,新加坡,上海,吉祥,HO1606,周五,
新加坡,新加坡,上海,新航,SQ830,周一,
新加坡,新加坡,广州,南航,CZ3040,周二,
新加坡,新加坡,广州,酷航,TR100,周日,↓ 奖励
新加坡,新加坡,南京,酷航,TR180,周四,7.23 起
新加坡,新加坡,成都,国航,CA404,周一,↓ 奖励
新加坡,新加坡,杭州,国航,CA768,周五,7.31 起
新加坡,新加坡,厦门,厦航,MF852,周三,
新加坡,新加坡,重庆,胜安,MI972,周一,
马来西亚,吉隆坡,上海,上航,FM886,周日,
马来西亚,吉隆坡,广州,南航,CZ350,周二,↓ 奖励
马来西亚,吉隆坡,广州,南航,CZ350,周五,7.24 起
马来西亚,吉隆坡,广州,马航,MH376,周一,
马来西亚,吉隆坡,广州,亚航,AK116,周三,
马来西亚,吉隆坡,广州,马印,OD612,周一,
马来西亚,吉隆坡,杭州,亚航 X,D7302,周一,7.13 起
马来西亚,吉隆坡,厦门,厦航,MF848,周五,
菲律宾,马尼拉,北京,国航,CA180,周二,青岛入境
菲律宾,马尼拉,上海,东航,MU212,周三,
菲律宾,马尼拉,广州,南航,CZ3092,周四,
菲律宾,马尼拉,厦门,厦航,MF820,周五,
菲律宾,马尼拉,南京,菲鹰,2P2638,周一,7.6 起
菲律宾,马尼拉,天津,菲航,PR314,周三,7.15 起
缅甸,仰光,北京,国航,CA906,周日,郑州入境
缅甸,仰光,广州,南航,CZ3056,周六,↓ 奖励
缅甸,仰光,广州,南航,CZ3056,周一,7.27 起
缅甸,仰光,广州,缅航,8M711,周五,
缅甸,仰光,昆明,东航,MU2032,周三,
老挝,万象,广州,南航,CZ6092,周五,
老挝,万象,昆明,东航,MU2574,周五,↓ 奖励
老挝,万象,昆明,东航,MU2574,周二,7.14 起
老挝,万象,昆明,老航,QV815,周日,↓ 奖励
老挝,万象,昆明,老航,QV815,周四,7.23 起
老挝,万象,重庆,华夏,G52806,周日,
