国家,出发,到达,航司,航班号,班期,备注
美国,洛杉矶,北京,国航,CA988,周日,天津入境
美国,洛杉矶,广州,南航,CZ328,周日,
美国,洛杉矶,厦门,厦航,MF830,周一,
美国,纽约（肯尼迪）,上海,东航,MU588,周三,
美国,西雅图,上海 ,达美,DL287,周四,6.25 起，经停首尔仁川
美国,底特律,上海 ,达美,DL283,周五,7.3 起，经停首尔仁川
美国,旧金山,上海 ,美联,UA857,周三,7.8 起，经停首尔仁川
美国,旧金山,上海 ,美联,UA857,周六,7.8 起，经停首尔仁川
加拿大,温哥华,北京,国航,CA992,周日,沈阳入境
加拿大,温哥华,上海 ,加航,AC25,周五,8.7 起，经停首尔仁川
加拿大,温哥华,广州,南航,CZ330,周三,↓ 奖励
加拿大,温哥华,广州,南航,CZ330,周五,7.24 起
加拿大,温哥华,厦门,厦航,MF806,周五,↓ 奖励
加拿大,温哥华,厦门,厦航,MF806,周二,7.28 起
加拿大,温哥华,成都,川航,3U8502,周三,
加拿大,温哥华,南京,东航,MU216,周二,8.4 起
加拿大,多伦多（皮尔逊）,上海,东航,MU208,周六,↑ 奖励
加拿大,多伦多（皮尔逊）,北京,海航,HU7976,周三,西安入境，↓奖励
加拿大,多伦多（皮尔逊）,北京,海航,HU7976,周日,7.19 起，西安入境
