国家,出发,到达,航司,航班号,班期,备注
韩国,首尔（仁川）,北京,国航,CA124,周五,青岛入境
韩国,首尔（仁川）,杭州,国航,CA140,周二,7.21 起
韩国,首尔（仁川）,杭州,长龙,GJ8508,周四,7.23 起
韩国,首尔（仁川）,上海,东航,MU5042,周五,
韩国,首尔（仁川）,青岛,山航,SC4088,周五,
韩国,首尔（仁川）,青岛,青岛航,QW9902,周六,
韩国,首尔（仁川）,沈阳,南航,CZ682,周日,
韩国,首尔（仁川）,沈阳,大韩,KE831,周五,
韩国,首尔（仁川）,广州,大韩,KE865,周三,7.22 起
韩国,首尔（仁川）,长春,韩亚,OZ303,周二,
韩国,首尔（仁川）,南京,韩亚,OZ349,周日,7.12 起
韩国,首尔（仁川）,厦门,厦航,MF872,周一,
韩国,首尔（仁川）,厦门,厦航,MF872,周六,8.1 起
韩国,首尔（仁川）,威海,济州航,7C8501,周三,
韩国,首尔（仁川）,厦门,厦航,MF872,周一,
韩国,首尔（仁川）,深圳,釜山航,BX319,周五,7.17 起
韩国,济州,上海,春秋,9C8570,周一,
韩国,济州,西安,真航空,LJ171,周四,7.16 起
日本,东京（成田）,上海,东航,MU524,周五,
日本,东京（成田）,上海,春秋,9C6218,周日,
日本,东京（成田）,上海,全日空,NH919,周日,
日本,东京（成田）,上海,国航,CA930,周四,↓ 奖励
日本,东京（成田）,杭州,国航,CA146,周一,7.27 起
日本,东京（成田）,大连,日航,JL829,周四,↓ 奖励
日本,东京（成田）,大连,日航,JL829,周二,7.21 起
日本,东京（成田）,沈阳,南航,CZ628,周四,↓ 奖励
日本,东京（成田）,广州,南航,CZ8102,周三,8.12 起
日本,东京（成田）,哈尔滨,春秋日本,IJ213,周日,
日本,东京（成田）,福州,厦航,MF810,周五,↓ 奖励
日本,东京（成田）,厦门,厦航,MF816,周二,8.4 起
日本,东京（成田）,西安,东航,MU594[2],周二,7.21 起
日本,东京（成田）,深圳,深航,ZH9052,周日,7.26 起
日本,大阪（关西）,上海,吉祥,HO1334,周二,从美国和南美出发须持 7 日内核酸证明
日本,大阪（关西）,南京,吉祥,HO1610,周四,8.6 起，从美国和南美出发须持 7 日内核酸证明
