国家,出发,到达,航司,航班号,班期,备注
英国,伦敦（希斯罗）,上海,国航,CA850,周五,
英国,伦敦（希斯罗）,上海,东航,MU552,周五,
英国,伦敦（希斯罗）,上海,维珍,VS250,周二,8.4 起
英国,伦敦（希斯罗）,上海,英航,BA169,周四,8.13 起
英国,伦敦（希斯罗）,上海,英航,BA169,周日,8.9 起
英国,伦敦（希斯罗）,广州,南航,CZ304,周四,
英国,伦敦（希斯罗）,青岛,首航,JD432,周五,
法国,巴黎（戴高乐）,北京,国航,CA934,周三,
法国,巴黎（戴高乐）,上海,东航,MU570,周日,
法国,巴黎（戴高乐）,上海,法航,AF198,周四,6.18 起，经停首尔仁川
法国,巴黎（戴高乐）,上海,法航,AF198,周一,7.20 起，经停首尔仁川
法国,巴黎（戴高乐）,广州,南航,CZ348,周二,
德国,法兰克福,上海,国航,CA936,周六,
德国,法兰克福,上海,东航,MU220,周二,
德国,法兰克福,上海,汉莎,LH728,周三,6.24 起
德国,法兰克福,上海,汉莎,LH728,周一,7.27 起
德国,法兰克福,南京,汉莎,LH780,周一,7.6 起
荷兰,阿姆斯特丹,上海,东航,MU772,周一,
荷兰,阿姆斯特丹,上海,荷航,KL857,周二,7.21 起，经停首尔仁川
荷兰,阿姆斯特丹,广州,南航,CZ308,周五,↓ 奖励
荷兰,阿姆斯特丹,广州,南航,CZ308,周二,7.28 起
荷兰,阿姆斯特丹,厦门,厦航,MF812,周三,↓ 奖励
荷兰,阿姆斯特丹,厦门,厦航,MF812,周六,8.1 起
比利时,布鲁塞尔,北京,海航,HU492,周二,西安入境，↓ 奖励
比利时,布鲁塞尔,北京,海航,HU492,周六,7.25 起，西安入境
瑞士,苏黎世,上海,瑞航,LX188,周日,7.19 起
意大利,米兰,南京,勒奥斯航,NO946,周四,7.9 起
西班牙,马德里,北京,国航,CA908,周六,天津入境
葡萄牙,里斯本,西安、北京（大兴）,首航,JD430,周六,西安入境，↓ 奖励
葡萄牙,里斯本,西安、北京（大兴）,首航,JD430,周四,7.30 起，西安入境   
奥地利,维也纳,北京,国航,CA842,周六        ,呼和浩特入境
希腊,雅典,北京,国航,CA864,周六,石家庄入境
波兰,华沙,北京,国航,CA738,周五,太原入境
丹麦,哥本哈根,北京,国航,CA878,周一,石家庄入境，↓ 奖励
丹麦,哥本哈根,北京,国航,CA878,周三,8.5 起，石家庄入境
瑞典,斯德哥尔摩,北京,国航,CA912,周五     ,天津入境，↓ 奖励
瑞典,斯德哥尔摩,北京,国航,CA912,周日,7.26 起，西安入境
芬兰,赫尔辛基,上海,吉祥,HO1608,周日,从美国和南美出发须持 7 日内核酸证明
芬兰,赫尔辛基,上海,芬航,AY87,周四,7.23 起
俄罗斯,莫斯科,北京,国航,CA910,周五,每周更换入境点，须持 5 日内核酸证明
俄罗斯,莫斯科,上海,俄航,SU208,周四,7.2 起，须持 5 日内核酸证明
白俄罗斯,明斯克,北京,国航,CA722,周五,呼和浩特入境
土耳其,伊斯坦布尔,广州,土航,TK72,周二,7.21 起，须持 5 日内核酸证明
